"","baseMean","log2FoldChange (cortex over medulla)","lfcSE","stat","pvalue","padj"
"LINC01604",32.4142317845628,0.136509122861223,0.315010241073732,0.433348206064422,0.664761822014919,0.800789742528123
"ZNF696",95.4807387854986,0.142313391833092,0.225890513399714,0.630010484686749,0.528687724480432,0.699675947639531
"TOP1MT",137.217577492812,0.404683723155278,0.266214458057132,1.52014179135391,0.128475343159958,0.273458769330578
"RHPN1-AS1",7.53855272402331,0.11410801955592,0.586293422274686,0.194626129546545,0.845685645788787,0.915746319242586
"RHPN1",246.605905927052,0.0166293058940032,0.322004749031632,0.0516430454644307,0.958813119761014,0.978386845743276
"MAFA-AS1",0.19898973114459,0.00787398165340925,0.518488979611344,0.0151864011831294,0.987883470696304,NA
"MAFA",2.09637475413669,-0.461966032195321,0.732684294699702,-0.630511716352078,0.52835983961928,0.699431117554289
"ZC3H3",248.378733031921,1.31595911520482,0.29779142499447,4.41906315881749,9.91296768821161e-06,0.000118135062285565
"GSDMD",561.797992388059,0.513417594322393,0.224568159384204,2.28624394362163,0.0222399912769218,0.0747056148914271
"MROH6",38.0883343777589,-0.374800020078863,0.369994317919958,-1.01298858367859,0.31106561397294,0.503082917984342
"NAPRT",385.243436839982,0.764669409648571,0.278354330197828,2.74710800836156,0.00601233311677232,0.0264840230430601
"EEF1D",2009.26246446982,0.220871262732862,0.170841356857725,1.29284423160372,0.196064938871562,0.368068216980364
"TIGD5",59.6593439305725,0.109162316723385,0.314875429476352,0.346684137612534,0.728828628359873,0.843906832837747
"PYCRL",105.966696059565,0.499852794694728,0.246785540125881,2.02545414305782,0.042820752668162,0.122936999595691
"TSTA3",210.309379115295,0.554874252692838,0.224776546755821,2.46855937908686,0.0135658143047234,0.0508166527810378
"ZNF623",443.639707235444,-0.088806943842293,0.14803231726712,-0.599915920265192,0.54856227178601,0.714722470160372
"ZNF707",87.8039020551089,0.281627863832161,0.27730469884509,1.01558994494171,0.309824695052074,0.501850391224323
"BREA2",4.77527605055274,0.20747694488239,0.605942093302158,0.342403914789478,0.732046942782718,0.846032294869887
"MAPK15",70.3813142630709,-0.681749452286428,0.28312301901798,-2.40796193347717,0.0160418535861075,0.0578452105370139
"FAM83H",326.796100185152,-0.0703183673940104,0.310466529178396,-0.226492587075643,0.82081832410466,0.900937548009258
"MIR4664",7.99050585633201,0.636885633478285,0.541010569808839,1.17721476995047,0.239109794906915,0.421098199701151
"FAM83H-AS1",57.4921548400521,-0.892232993584895,0.365054797191038,-2.44410702297381,0.0145211181956416,0.0535751826400345
"SCRIB",448.42834453929,0.310102722711086,0.301649505698966,1.02802330801946,0.303938863855234,0.495555246422307
"MIR937",10.4240159379758,0.784038643872409,0.608543937357554,1.28838461077584,0.197612113045034,0.369908716388315
"PUF60",726.328782637785,0.477009376796833,0.167832475723057,2.84217565606286,0.00448067968477051,0.020828990557409
"NRBP2",781.68766189956,1.15703476734069,0.199321445362792,5.80486843869072,6.44165632529232e-09,1.80182329784605e-07
"MIR6845",5.48576339188549,0.796679002675257,0.573935951039362,1.38809740221452,0.16510738752587,0.32760464610423
"EPPK1",527.636235494182,0.43912597324963,0.33788697902841,1.299623840233,0.193729924635028,0.365294268271821
"PLEC",2845.80203014722,0.382454365318445,0.279043810381447,1.37058895804081,0.170503127022462,0.335118573288476
"MIR661",1.68476036050491,-0.301753298514413,0.730062408989375,-0.4133253469825,0.679368261588651,NA
"PARP10",627.532830599965,1.15516894171073,0.239070356552368,4.83192043701869,1.35222297222099e-06,2.09135274850609e-05
"GRINA",1961.40890499265,0.779413672649644,0.232059771536323,3.35867637673532,0.000783167252041504,0.00493491950829352
"SPATC1",0.647757937753867,0.267893052964582,0.644602538691167,0.415594163666382,0.677706998123793,NA
"OPLAH",545.224350634123,-0.029445470818849,0.165589435295764,-0.177822158558942,0.858862644671124,0.923173615648914
"MIR6846",1.28176846586212,-0.343746676186586,0.73384714005795,-0.46841727305695,0.639486218074363,NA
"EXOSC4",84.6001516224486,0.128775716188526,0.255131496755716,0.504742526211206,0.613739687987797,0.763518844323087
"MIR6847",1.52229336587387,-0.323572994586514,0.731402129300881,-0.442400946926153,0.658199093920656,NA
"GPAA1",665.938975475855,0.6479957743895,0.232712560228152,2.78453287503779,0.00536048867200894,0.0241394591071608
"CYC1",1595.65640070756,-0.248862831477494,0.14445544974655,-1.72276526717497,0.0849309821440457,0.203792724311325
